Year,Month,Day,Fractional year,Modulation potential [MV]
1964,6,14,1964.45082,532.3
1964,6,15,1964.453552,530.5
1964,6,16,1964.456284,543.8
1964,6,17,1964.459016,535.1
1964,6,18,1964.461749,532
1964,6,19,1964.464481,540.3
1964,6,20,1964.467213,526.5
1964,6,21,1964.469945,538.2
1964,6,22,1964.472678,540.4
1964,6,23,1964.47541,531.3
1964,6,24,1964.478142,531.5
1964,6,25,1964.480874,528.7
1964,6,26,1964.483607,531.3
1964,6,27,1964.486339,522.2
1964,6,28,1964.489071,526.4
1964,6,29,1964.491803,523.9
1964,6,30,1964.494536,527.2
1964,7,1,1964.497268,518.2
1964,7,2,1964.5,519.2
1964,7,3,1964.502732,527.1
1964,7,4,1964.505464,528.4
1964,7,5,1964.508197,532.5
1964,7,6,1964.510929,525.9
1964,7,7,1964.513661,529.4
1964,7,8,1964.516393,539.7
1964,7,9,1964.519126,540.9
1964,7,10,1964.521858,538.6
1964,7,11,1964.52459,535
1964,7,12,1964.527322,535.3
1964,7,13,1964.530055,540
1964,7,14,1964.532787,537.4
1964,7,15,1964.535519,530
1964,7,16,1964.538251,532
1964,7,17,1964.540984,534.7
1964,7,18,1964.543716,544.1
1964,7,19,1964.546448,551.2
1964,7,20,1964.54918,548.1
1964,7,21,1964.551913,535.9
1964,7,22,1964.554645,533.2
1964,7,23,1964.557377,530.7
1964,7,24,1964.560109,527.7
1964,7,25,1964.562842,521.2
1964,7,26,1964.565574,516.4
1964,7,27,1964.568306,517.4
1964,7,28,1964.571038,513
1964,7,29,1964.57377,515.5
1964,7,30,1964.576503,527.3
1964,7,31,1964.579235,526.3
1964,8,1,1964.581967,522.5
1964,8,2,1964.584699,523.7
1964,8,3,1964.587432,519.3
1964,8,4,1964.590164,527.6
1964,8,5,1964.592896,535
1964,8,6,1964.595628,531.1
1964,8,7,1964.598361,537.1
1964,8,8,1964.601093,537.1
1964,8,9,1964.603825,529.5
1964,8,10,1964.606557,524.7
1964,8,11,1964.60929,533.4
1964,8,12,1964.612022,545.1
1964,8,13,1964.614754,543.7
1964,8,14,1964.617486,545.8
1964,8,15,1964.620219,535.3
1964,8,16,1964.622951,531.9
1964,8,17,1964.625683,526.6
1964,8,18,1964.628415,525.7
1964,8,19,1964.631148,520.9
1964,8,20,1964.63388,515.8
1964,8,21,1964.636612,511.2
1964,8,22,1964.639344,508.3
1964,8,23,1964.642077,508.2
1964,8,24,1964.644809,506
1964,8,25,1964.647541,519.6
1964,8,26,1964.650273,516.7
1964,8,27,1964.653005,516.5
1964,8,28,1964.655738,519.1
1964,8,29,1964.65847,514.6
1964,8,30,1964.661202,507.1
1964,8,31,1964.663934,508.1
1964,9,1,1964.666667,512.6
1964,9,2,1964.669399,515.6
1964,9,3,1964.672131,509.2
1964,9,4,1964.674863,508.6
1964,9,5,1964.677596,503.9
1964,9,6,1964.680328,501.7
1964,9,7,1964.68306,515.4
1964,9,8,1964.685792,521.4
1964,9,9,1964.688525,522
1964,9,10,1964.691257,524.1
1964,9,11,1964.693989,518.9
1964,9,12,1964.696721,513.4
1964,9,13,1964.699454,504.4
1964,9,14,1964.702186,505
1964,9,15,1964.704918,505.7
1964,9,16,1964.70765,516.7
1964,9,17,1964.710383,517.6
1964,9,18,1964.713115,520.2
1964,9,19,1964.715847,511.5
1964,9,20,1964.718579,509.1
1964,9,21,1964.721311,518.3
1964,9,22,1964.724044,536.8
1964,9,23,1964.726776,527.6
1964,9,24,1964.729508,526.8
1964,9,25,1964.73224,523
1964,9,26,1964.734973,515.6
1964,9,27,1964.737705,512.9
1964,9,28,1964.740437,521
1964,9,29,1964.743169,520.8
1964,9,30,1964.745902,513.5
1964,10,1,1964.748634,511.2
1964,10,2,1964.751366,506.4
1964,10,3,1964.754098,507.7
